ID,S_ID,Case Number,Description,District,Ward,FBI Code,Year
4826592,39,HM438693,ATTEMPT FINANCIAL IDENTITY THEFT,16.0,45.0,6,2004.0
4711465,40,HM315884,FINANCIAL ID THEFT: OVER $300,19.0,46.0,6,2003.0
4711723,41,HM317057,CREDIT CARD FRAUD,6.0,17.0,11,2003.0
4830505,42,HM329032,AGG SEX ASSLT OF CHILD FAM MBR,3.0,20.0,2,2004.0
4830538,43,HM442686,FINANCIAL ID THEFT: OVER $300,10.0,22.0,6,2002.0
4832512,44,HM442425,AGG CRIMINAL SEXUAL ABUSE,1.0,2.0,17,2004.0
4832679,45,HM444090,FORGERY,3.0,20.0,10,2004.0
4833086,46,HM444976,FORGERY,8.0,15.0,10,2004.0
4834746,47,HM440439,SIMPLE,5.0,9.0,08B,2004.0
4718225,48,HM319881,HARASSMENT BY TELEPHONE,3.0,20.0,26,2003.0
4835260,49,HM447297,AGGRAVATED: KNIFE/CUT INSTR,25.0,31.0,2,2004.0
4835588,50,HM446921,FINANCIAL ID THEFT: OVER $300,25.0,30.0,6,2004.0
4835774,51,HM440784,AGG: FINANCIAL ID THEFT,8.0,18.0,6,2001.0
4838005,52,HM450002,FINANCIAL ID THEFT:$300 &UNDER,16.0,36.0,6,2004.0
4722424,53,HM325827,AGG: FINANCIAL ID THEFT,9.0,25.0,6,2003.0
4724079,54,HM328405,FINANCIAL ID THEFT: OVER $300,9.0,14.0,6,2003.0
4724354,55,HM328186,FINANCIAL ID THEFT:$300 &UNDER,25.0,30.0,6,2003.0
4842335,56,HM454558,FORCIBLE ENTRY,9.0,3.0,5,2004.0
4842389,57,HM452242,FINANCIAL ID THEFT: OVER $300,8.0,15.0,6,2004.0
4844640,58,HM457966,TELEPHONE THREAT,6.0,6.0,26,2004.0
4844682,59,HM456264,FINANCIAL ID THEFT: OVER $300,16.0,45.0,6,2004.0
4847694,60,HM444660,AGG CRIM SEX ABUSE FAM MEMBER,25.0,29.0,20,2004.0
4848232,61,HM457837,FINANCIAL ID THEFT: OVER $300,6.0,17.0,6,2004.0
4849736,62,HM458656,FINANCIAL ID THEFT: OVER $300,8.0,18.0,6,2004.0
4731694,63,HM337822,FRAUD OR CONFIDENCE GAME,19.0,48.0,11,2003.0
4850450,64,HM464385,AGG CRIM SEX ABUSE FAM MEMBER,4.0,10.0,20,2001.0
4733593,65,HM342098,FINANCIAL ID THEFT: OVER $300,11.0,37.0,6,2003.0
4733828,66,HM342754,FINANCIAL ID THEFT:$300 &UNDER,25.0,27.0,6,2003.0
4735661,67,HM343982,FINANCIAL ID THEFT:$300 &UNDER,3.0,20.0,6,2003.0
4854455,68,HM465137,SEX ASSLT OF CHILD BY FAM MBR,2.0,20.0,2,2004.0
4855598,69,HM469360,FINANCIAL ID THEFT: OVER $300,16.0,45.0,6,2004.0
4737355,70,HM341887,FINANCIAL ID THEFT: OVER $300,2.0,4.0,6,2003.0
4737684,71,HM343580,FINANCIAL ID THEFT: OVER $300,19.0,46.0,6,2003.0
4737727,72,HM347114,FINANCIAL ID THEFT: OVER $300,3.0,20.0,6,2003.0
4856873,73,HM468956,AGG CRIM SEX ABUSE FAM MEMBER,25.0,29.0,20,2002.0
4858660,74,HM472409,AGG SEX ASSLT OF CHILD FAM MBR,18.0,42.0,2,2002.0
4860395,75,HM473008,CRIMINAL SEXUAL ABUSE,22.0,21.0,17,2004.0
4740930,76,HM350304,NON-AGGRAVATED,7.0,16.0,2,2003.0
4742054,77,HM345711,FINANCIAL ID THEFT: OVER $300,11.0,28.0,6,2003.0
4861687,78,HM440464,FINANCIAL ID THEFT: OVER $300,4.0,8.0,6,2002.0
4862013,79,HM476066,AGG CRIMINAL SEXUAL ABUSE,2.0,4.0,17,2002.0
4742727,80,HM352440,FINANCIAL ID THEFT: OVER $300,4.0,8.0,6,2003.0
4862395,81,HM467392,AGG CRIMINAL SEXUAL ABUSE,14.0,1.0,17,2004.0
4745148,82,HM355759,AGG CRIMINAL SEXUAL ABUSE,22.0,19.0,17,2003.0
4745262,83,HM355803,FINANCIAL ID THEFT: OVER $300,6.0,17.0,6,2003.0
4745415,84,HM350533,FINANCIAL ID THEFT: OVER $300,25.0,36.0,6,2003.0
4746249,85,HM356873,FINANCIAL ID THEFT: OVER $300,22.0,21.0,6,2003.0
4746322,86,HM357095,OTHER VEHICLE OFFENSE,16.0,38.0,26,2003.0
4866805,87,HM474523,AGG CRIM SEX ABUSE FAM MEMBER,9.0,3.0,20,2004.0
4867308,88,HM481812,CHILD ABUSE,15.0,29.0,20,2004.0
4867146,89,HM480670,OVER $500,18.0,42.0,6,2004.0
4747760,90,HM352979,FINANCIAL ID THEFT: OVER $300,25.0,31.0,6,2003.0
4868152,91,HM457999,UNLAWFUL SALE HANDGUN,6.0,18.0,15,2004.0
4868565,92,HK562944,ATT: AUTOMOBILE,7.0,17.0,7,2004.0
4868847,93,HM471400,FINANCIAL ID THEFT: OVER $300,10.0,22.0,6,2002.0
4871195,94,HM482915,FINANCIAL ID THEFT: OVER $300,10.0,28.0,6,2004.0
4870963,95,HM483136,FINANCIAL ID THEFT: OVER $300,22.0,21.0,6,2004.0
4871980,96,HM470742,FINAN EXPLOIT-ELDERLY/DISABLED,7.0,17.0,11,2004.0
4872408,97,HM486511,AGG SEX ASSLT OF CHILD FAM MBR,9.0,16.0,2,2004.0
4752685,98,HM355963,FINANCIAL ID THEFT: OVER $300,8.0,18.0,6,2003.0
4873027,99,HM487247,PREDATORY,25.0,35.0,2,2002.0
4873484,100,HM480917,FINANCIAL ID THEFT: OVER $300,14.0,1.0,6,2004.0
4754282,101,4754282,4754282,4754282.0,4754282.0,4754282,4754282.0
4754301,102,HM334104,AGG SEX ASSLT OF CHILD FAM MBR,9.0,11.0,2,2003.0
4874914,103,HM485733,FINANCIAL ID THEFT: OVER $300,19.0,44.0,6,2004.0
4875208,104,HM481496,FROM BUILDING,5.0,8.0,6,2004.0
4876027,105,HM489470,FORGERY,1.0,42.0,10,2004.0
4878039,106,HM485227,FINANCIAL ID THEFT:$300 &UNDER,11.0,2.0,6,2004.0
4757806,107,HM367629,FINANCIAL ID THEFT: OVER $300,19.0,32.0,6,2003.0
4878292,108,HM466674,AGG CRIMINAL SEXUAL ABUSE,19.0,44.0,17,2004.0
4758758,109,HM370008,FINANCIAL ID THEFT: OVER $300,4.0,10.0,6,2003.0
4880098,110,HM489712,AGG SEX ASSLT OF CHILD FAM MBR,22.0,34.0,2,2002.0
4760468,111,HM371898,FINANCIAL ID THEFT:$300 &UNDER,14.0,26.0,6,2003.0
4881340,112,HM495650,FINANCIAL ID THEFT: OVER $300,22.0,21.0,6,2004.0
4881404,113,HM495669,FINANCIAL ID THEFT: OVER $300,3.0,5.0,6,2004.0
4883066,114,HM494099,FINANCIAL ID THEFT: OVER $300,6.0,8.0,6,2004.0
4881958,115,HM496701,AGG SEX ASSLT OF CHILD FAM MBR,15.0,29.0,2,2002.0
4762257,116,HM370211,AGG CRIM SEX ABUSE FAM MEMBER,8.0,13.0,20,2003.0
4882940,117,HM497605,FINANCIAL ID THEFT: OVER $300,8.0,15.0,6,2004.0
4883319,118,HM497761,HARASSMENT BY TELEPHONE,3.0,5.0,26,2004.0
4886733,119,HM501269,AGG: FINANCIAL ID THEFT,7.0,20.0,6,2001.0
4887180,120,HK190552,THEFT/RECOVERY: AUTOMOBILE,7.0,16.0,7,2004.0
4887254,121,HK597418,AUTOMOBILE,7.0,20.0,7,2004.0
4887288,122,HK747960,AUTOMOBILE,7.0,17.0,7,2004.0
4767190,123,HM367881,AGG: FINANCIAL ID THEFT,3.0,6.0,6,2003.0
4767978,124,HM381786,TELEPHONE THREAT,10.0,24.0,26,2003.0
4769215,125,HM382257,FINANCIAL ID THEFT:$300 &UNDER,9.0,11.0,6,2003.0
4769404,126,HM382132,PREDATORY,15.0,37.0,2,2003.0
4891069,127,HM501504,AGG SEX ASSLT OF CHILD FAM MBR,11.0,24.0,2,2004.0
4891097,128,HM505731,AGG SEX ASSLT OF CHILD FAM MBR,14.0,26.0,2,2002.0
4770440,129,HM384118,AGG CRIM SEX ABUSE FAM MEMBER,9.0,14.0,20,2003.0
4891742,130,HM497604,FINANCIAL ID THEFT:$300 &UNDER,18.0,43.0,6,2004.0
4892881,131,HM488474,AGGRAVATED: OTHER,22.0,34.0,2,2001.0
4893102,132,HM299492,FINANCIAL ID THEFT: OVER $300,6.0,6.0,6,2001.0
4893786,133,HM508773,CREDIT CARD FRAUD,12.0,32.0,11,2001.0
4893865,134,HM509014,FINANCIAL ID THEFT: OVER $300,22.0,19.0,6,2001.0
4895423,135,HM510628,CREDIT CARD FRAUD,9.0,16.0,11,2004.0
4895638,136,HM506652,FINANCIAL ID THEFT: OVER $300,15.0,28.0,6,2001.0
4897323,137,HM512965,FINANCIAL ID THEFT: OVER $300,8.0,18.0,6,2002.0
4898347,138,HM514440,FRAUD OR CONFIDENCE GAME,1.0,42.0,11,2004.0
4898698,139,HM514592,FINANCIAL ID THEFT: OVER $300,25.0,30.0,6,2001.0
4899867,140,HM515943,FINANCIAL ID THEFT: OVER $300,7.0,17.0,6,2004.0
4779310,141,HM386747,AGGRAVATED: HANDGUN,4.0,10.0,2,2003.0
4901135,142,HM516767,FINANCIAL ID THEFT: OVER $300,6.0,8.0,6,2002.0
4902503,143,HM516928,FINANCIAL ID THEFT: OVER $300,9.0,11.0,6,2004.0
4902691,144,HM516881,FINANCIAL ID THEFT: OVER $300,10.0,22.0,6,2004.0
4903025,145,HM518800,FORGERY,16.0,45.0,10,2004.0
4783528,146,HM396801,AGG SEX ASSLT OF CHILD FAM MBR,10.0,24.0,2,2003.0
4903753,147,HM519116,FINANCIAL ID THEFT: OVER $300,1.0,42.0,6,2004.0
4785031,148,HM398785,FINANCIAL ID THEFT: OVER $300,12.0,26.0,6,2003.0
4786441,149,HM399889,FINANCIAL ID THEFT: OVER $300,3.0,20.0,6,2003.0
4911490,150,HM527616,NON-AGGRAVATED,4.0,7.0,2,2004.0
4911781,151,HM527915,FINANCIAL ID THEFT: OVER $300,10.0,24.0,6,2001.0
4911803,152,HM527941,FINANCIAL ID THEFT: OVER $300,12.0,1.0,6,2004.0
4911911,153,HM342534,AGG SEX ASSLT OF CHILD FAM MBR,8.0,13.0,2,2002.0
4793221,154,HM401963,FORGERY,19.0,1.0,10,2003.0
4913770,155,HM529428,FINANCIAL ID THEFT: OVER $300,3.0,5.0,6,2004.0
4799105,156,HM411040,FINANCIAL ID THEFT: OVER $300,3.0,20.0,6,2003.0
4917995,157,HM528337,FINANCIAL ID THEFT: OVER $300,1.0,42.0,6,2004.0
4918447,158,HK261180,PRO EMP HANDS NO/MIN INJURY,9.0,11.0,08B,2004.0
4918462,159,HK269216,FALSE FIRE ALARM,9.0,11.0,24,2004.0
4918503,160,HM529810,FINANCIAL ID THEFT: OVER $300,9.0,12.0,6,2004.0
4918539,161,HK259104,SIMPLE,9.0,11.0,08B,2004.0
4919336,162,HM533632,FINANCIAL ID THEFT: OVER $300,25.0,30.0,6,2004.0
4919570,163,HM531605,FINANCIAL ID THEFT: OVER $300,24.0,50.0,6,2004.0
4919862,164,HM520437,FINANCIAL ID THEFT: OVER $300,5.0,9.0,6,2004.0
4802045,165,HM415564,FINANCIAL ID THEFT:$300 &UNDER,4.0,7.0,6,2003.0
4803310,166,HM413400,TELEPHONE THREAT,12.0,2.0,26,2003.0
4805185,167,HM412100,FINANCIAL ID THEFT:$300 &UNDER,8.0,23.0,6,2003.0
4925834,168,HM541642,FINANCIAL ID THEFT: OVER $300,5.0,8.0,6,2002.0
4927040,169,HM538120,AGG CRIMINAL SEXUAL ABUSE,4.0,8.0,17,2002.0
4925858,170,HK344550,SIMPLE,9.0,11.0,08B,2004.0
4807096,171,HM420271,FINANCIAL ID THEFT: OVER $300,10.0,22.0,6,2003.0
4927931,172,HK591078,MANU/DEL:CANNABIS OVER 10 GMS,7.0,16.0,18,2004.0
4926292,173,HM539405,FINANCIAL ID THEFT: OVER $300,19.0,46.0,6,2004.0
4807443,174,HM395336,FINANCIAL ID THEFT: OVER $300,2.0,2.0,6,2003.0
4927932,175,HK764272,POSS: CANNABIS 30GMS OR LESS,7.0,6.0,18,2004.0
4928049,176,HK676982,GAME/DICE,7.0,17.0,19,2004.0
4928434,177,HK820830,MANU/DELIVER:CRACK,7.0,17.0,18,2004.0
4927379,178,HM543267,FINANCIAL ID THEFT:$300 &UNDER,5.0,8.0,6,2004.0
4927663,179,HK834874,SOLICIT ON PUBLIC WAY,7.0,16.0,16,2004.0
4927678,180,HK165415,POSS: CANNABIS 30GMS OR LESS,7.0,17.0,18,2004.0
4927723,181,HK147918,POSS: CRACK,7.0,15.0,18,2004.0
4927740,182,HK195444,POSS: CANNABIS 30GMS OR LESS,7.0,17.0,18,2004.0
4927752,183,HK206907,ILLEGAL CONSUMPTION BY MINOR,7.0,16.0,22,2004.0
4927761,184,HK213618,POSS: CANNABIS 30GMS OR LESS,7.0,15.0,18,2004.0
4927779,185,HK298594,POSS: CANNABIS 30GMS OR LESS,7.0,17.0,18,2004.0
4927790,186,HK306243,POSS: CANNABIS 30GMS OR LESS,7.0,16.0,18,2004.0
4927800,187,HK337634,POSS: CANNABIS MORE THAN 30GMS,7.0,17.0,18,2004.0
4927807,188,HK348938,POSS: CANNABIS MORE THAN 30GMS,7.0,6.0,18,2004.0
4927827,189,HK363798,POSS: CANNABIS 30GMS OR LESS,7.0,15.0,18,2004.0
4927834,190,HK405262,POSS: CRACK,7.0,6.0,18,2004.0
4927843,191,HK419900,POSS: CRACK,7.0,20.0,18,2004.0
4927855,192,HK449279,POSS: CRACK,7.0,16.0,18,2004.0
4927870,193,HK453445,POSS: CANNABIS 30GMS OR LESS,7.0,16.0,18,2004.0
4927875,194,HK472582,POSS: CANNABIS 30GMS OR LESS,7.0,17.0,18,2004.0
4927885,195,HK489119,GAME/DICE,7.0,17.0,19,2004.0
4927895,196,HK509724,POSS: CANNABIS 30GMS OR LESS,7.0,16.0,18,2004.0
4927915,197,HK704568,CRIMINAL DRUG CONSPIRACY,7.0,17.0,18,2004.0
4927916,198,HK583274,POSS: CANNABIS 30GMS OR LESS,7.0,20.0,18,2004.0
4927919,199,HK714802,POSS: CANNABIS 30GMS OR LESS,7.0,15.0,18,2004.0
4927923,200,HK585136,MANU/DELIVER: HEROIN (WHITE),7.0,15.0,18,2004.0
4927930,201,HK735812,POSS: CANNABIS 30GMS OR LESS,7.0,6.0,18,2004.0
4927937,202,HK593396,FOUND SUSPECT NARCOTICS,7.0,16.0,26,2004.0
4927940,203,HK776526,POSS: CANNABIS 30GMS OR LESS,7.0,17.0,18,2004.0
4927945,204,HK598848,SOLICIT NARCOTICS ON PUBLICWAY,7.0,15.0,26,2004.0
4927948,205,HK780996,POSS: CANNABIS 30GMS OR LESS,7.0,16.0,18,2004.0
4927951,206,HK599241,POSS: CRACK,7.0,16.0,18,2004.0
4927955,207,HK782175,SOLICIT ON PUBLIC WAY,7.0,16.0,16,2004.0
4927960,208,HK611621,POSS: CRACK,7.0,20.0,18,2004.0
4927965,209,HK624053,POSS: CANNABIS 30GMS OR LESS,7.0,16.0,18,2004.0
4927970,210,HK782255,POSS: CRACK,7.0,17.0,18,2004.0
4927974,211,HK782399,POSS: CRACK,7.0,16.0,18,2004.0
4927975,212,HK624143,POSS: CANNABIS 30GMS OR LESS,7.0,16.0,18,2004.0
4927980,213,HK790661,POSS: CRACK,7.0,20.0,18,2004.0
4927983,214,HK625225,POSS: CANNABIS 30GMS OR LESS,7.0,16.0,18,2004.0
4927992,215,HK635968,MANU/DELIVER: HEROIN (WHITE),7.0,15.0,18,2004.0
4927996,216,HK791831,POSS: CANNABIS 30GMS OR LESS,6.0,17.0,18,2004.0
4928000,217,HK644742,POSS: HEROIN(WHITE),7.0,17.0,18,2004.0
4928002,218,HK803638,MANU/DEL:CANNABIS OVER 10 GMS,7.0,16.0,18,2004.0
4928006,219,HK652392,POSS: CRACK,7.0,17.0,18,2004.0
4928015,220,HK652950,POSS: CANNABIS 30GMS OR LESS,7.0,17.0,18,2004.0
4928020,221,HK656445,POSS: CRACK,7.0,15.0,18,2004.0
4928022,222,HK804515,POSS: CRACK,7.0,16.0,18,2004.0
4928029,223,HK817094,POSS: CRACK,7.0,17.0,18,2004.0
4928034,224,HK818166,POSS: CANNABIS 30GMS OR LESS,7.0,6.0,18,2004.0
4928036,225,HK675227,SOLICIT NARCOTICS ON PUBLICWAY,7.0,17.0,26,2004.0
4928043,226,HK675357,SOLICIT NARCOTICS ON PUBLICWAY,7.0,17.0,26,2004.0
4928058,227,HK687398,POSS: CANNABIS 30GMS OR LESS,7.0,6.0,18,2004.0
4928065,228,HK698391,POSS: CANNABIS 30GMS OR LESS,7.0,17.0,18,2004.0
4928208,229,HM543524,FINANCIAL ID THEFT: OVER $300,24.0,50.0,6,2004.0
4928425,230,HK819960,POSS: CANNABIS 30GMS OR LESS,7.0,15.0,18,2004.0
4928442,231,HK823791,POSS: CRACK,7.0,17.0,18,2004.0
4928446,232,HK829396,POSS: CRACK,7.0,17.0,18,2004.0
4928464,233,HK832602,POSS: COCAINE,7.0,15.0,18,2004.0
4928614,234,HK833362,SOLICIT ON PUBLIC WAY,7.0,17.0,16,2004.0
4930029,235,HM545294,CREDIT CARD FRAUD,9.0,3.0,11,2004.0
4812581,236,HM426242,FINANCIAL ID THEFT: OVER $300,14.0,33.0,6,2003.0
4932054,237,HM547188,FINANCIAL ID THEFT: OVER $300,12.0,25.0,6,2002.0
4995790,238,HM603089,FINANCIAL ID THEFT: OVER $300,9.0,11.0,6,2004.0
4815420,239,HM428245,FINANCIAL ID THEFT: OVER $300,18.0,42.0,6,2003.0
4999204,240,HM610462,OVER $500,1.0,42.0,6,2004.0
4934477,241,HM541859,FINANCIAL ID THEFT: OVER $300,8.0,18.0,6,2002.0
4934551,242,HM545381,OVER $500,10.0,22.0,6,2004.0
4816230,243,HM423688,FINANCIAL ID THEFT:$300 &UNDER,7.0,17.0,6,2003.0
5066043,244,HM667621,FRAUD OR CONFIDENCE GAME,7.0,16.0,11,2003.0
4818199,245,HM430638,FORGERY,1.0,42.0,10,2003.0
4936276,246,HM548388,AGG SEX ASSLT OF CHILD FAM MBR,8.0,23.0,2,2002.0
4936827,247,HM545658,FINANCIAL ID THEFT: OVER $300,9.0,12.0,6,2004.0
4937444,248,HM547272,FINANCIAL ID THEFT: OVER $300,8.0,14.0,6,2004.0
4937745,249,HM553089,FINANCIAL ID THEFT:$300 &UNDER,3.0,5.0,6,2004.0
4937850,250,HM553073,AGG SEX ASSLT OF CHILD FAM MBR,4.0,7.0,2,2004.0
4937971,251,HM547248,$500 AND UNDER,11.0,24.0,6,2004.0
4941319,252,HM555856,FINANCIAL ID THEFT:$300 &UNDER,8.0,18.0,6,2004.0
4940788,253,HM555451,HARASSMENT BY TELEPHONE,1.0,42.0,26,2001.0
4941408,254,HM555968,FINANCIAL ID THEFT: OVER $300,10.0,22.0,6,2004.0
4942776,255,HM554654,SEX ASSLT OF CHILD BY FAM MBR,25.0,31.0,2,2001.0
4944151,256,HM557059,FINANCIAL ID THEFT:$300 &UNDER,25.0,31.0,6,2004.0
4825119,257,HM427635,FINANCIAL ID THEFT: OVER $300,6.0,21.0,6,2003.0
4944708,258,HM557003,FRAUD OR CONFIDENCE GAME,9.0,16.0,11,2004.0
4945626,259,HM553346,FINANCIAL ID THEFT: OVER $300,5.0,34.0,6,2004.0
4946552,260,HM558301,FINANCIAL ID THEFT:$300 &UNDER,11.0,26.0,6,2004.0
4947199,261,HM559628,FRAUD OR CONFIDENCE GAME,9.0,3.0,11,2001.0
4948495,262,HM561700,HARASSMENT BY TELEPHONE,6.0,17.0,26,2002.0
4952195,263,HM566703,HARASSMENT BY TELEPHONE,19.0,47.0,26,2004.0
4952363,264,HM541269,UNLAWFUL SALE HANDGUN,10.0,22.0,15,2004.0
4953454,265,HM566849,FINANCIAL ID THEFT: OVER $300,16.0,38.0,6,2004.0
4954005,266,HM567542,FINANCIAL ID THEFT:$300 &UNDER,14.0,35.0,6,2002.0
4955041,267,HM568782,FINANCIAL ID THEFT: OVER $300,1.0,3.0,6,2001.0
4957379,268,HM567641,FINANCIAL ID THEFT: OVER $300,9.0,12.0,6,2004.0
4958164,269,HM571127,AGG CRIM SEX ABUSE FAM MEMBER,5.0,9.0,20,2002.0
4838427,270,HM446611,FINANCIAL ID THEFT: OVER $300,6.0,6.0,6,2003.0
4958783,271,HM571597,FINANCIAL ID THEFT: OVER $300,16.0,38.0,6,2004.0
4960200,272,HM572010,HARASSMENT BY ELECTRONIC MEANS,2.0,4.0,26,2004.0
4960658,273,HM571330,OVER $500,10.0,22.0,6,2004.0
4842508,274,HM455955,FINANCIAL ID THEFT: OVER $300,2.0,3.0,6,2003.0
4964726,275,HM577591,FINANCIAL ID THEFT:$300 &UNDER,11.0,28.0,6,2004.0
4846771,276,HM456408,FINANCIAL ID THEFT:$300 &UNDER,12.0,28.0,6,2003.0
4966766,277,HM579540,CREDIT CARD FRAUD,11.0,37.0,11,2001.0
4968716,278,HM575028,NON-AGGRAVATED,24.0,48.0,2,2004.0
4969833,279,HM583619,FINANCIAL ID THEFT: OVER $300,22.0,21.0,6,2004.0
4970681,280,HK232041,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,9.0,16.0,04B,2004.0
4971109,281,HM582696,FROM BUILDING,1.0,42.0,6,2004.0
4851159,282,HM464949,FINANCIAL ID THEFT: OVER $300,17.0,31.0,6,2003.0
4852398,283,HM466123,FINANCIAL ID THEFT: OVER $300,11.0,28.0,6,2003.0
4973044,284,HM575112,FINANCIAL ID THEFT: OVER $300,5.0,34.0,6,2004.0
4973265,285,HM583852,FORGERY,7.0,17.0,10,2002.0
4973683,286,HM585438,AGG SEX ASSLT OF CHILD FAM MBR,17.0,33.0,2,2004.0
4974129,287,HM582876,FINANCIAL ID THEFT: OVER $300,7.0,20.0,6,2001.0
4974200,288,HM584690,FINANCIAL ID THEFT: OVER $300,11.0,37.0,6,2004.0
4975815,289,HM588600,AGG SEX ASSLT OF CHILD FAM MBR,16.0,38.0,2,2004.0
4976040,290,HM588608,FINANCIAL ID THEFT: OVER $300,8.0,23.0,6,2001.0
4977230,291,HM590375,$500 AND UNDER,3.0,5.0,6,2004.0
4979707,292,HK493788,THEFT/RECOVERY: AUTOMOBILE,7.0,17.0,7,2004.0
4979526,293,HM590100,FINANCIAL ID THEFT:$300 &UNDER,9.0,14.0,6,2001.0
4979650,294,HM593091,AUTOMOBILE,5.0,9.0,7,2004.0
4979680,295,HM593162,FINANCIAL ID THEFT: OVER $300,8.0,15.0,6,2001.0
4979704,296,HK230682,THEFT/RECOVERY: AUTOMOBILE,7.0,16.0,7,2004.0
4979711,297,HK424697,THEFT/RECOVERY: AUTOMOBILE,7.0,16.0,7,2004.0
4860969,298,HM468183,FINANCIAL ID THEFT: OVER $300,3.0,5.0,6,2003.0
4981903,299,HM594431,FINANCIAL ID THEFT: OVER $300,7.0,16.0,6,2001.0
4981997,300,HM591164,AGG: FINANCIAL ID THEFT,6.0,8.0,6,2004.0
4982394,301,HM594611,AGG: FINANCIAL ID THEFT,18.0,42.0,6,2004.0
4985407,302,HK665884,RETAIL THEFT,7.0,6.0,6,2004.0
4988373,303,HM599739,FINANCIAL ID THEFT: OVER $300,5.0,9.0,6,2004.0
4989983,304,HM600469,FINANCIAL ID THEFT: OVER $300,8.0,23.0,6,2001.0
4991319,305,HM601363,FINANCIAL ID THEFT: OVER $300,3.0,5.0,6,2002.0
4991465,306,HM602607,EMBEZZLEMENT,24.0,49.0,12,2001.0
4991998,307,HM602975,CREDIT CARD FRAUD,1.0,2.0,11,2004.0
4993297,308,HM604761,HARASSMENT BY TELEPHONE,9.0,3.0,26,2004.0
4994605,309,HM607304,FINANCIAL ID THEFT: OVER $300,8.0,23.0,6,2004.0
4873361,310,HM482943,FINANCIAL ID THEFT:$300 &UNDER,6.0,17.0,6,2003.0
4997248,311,HM608763,FINANCIAL ID THEFT:$300 &UNDER,14.0,35.0,6,2002.0
4998136,312,HM610002,FROM BUILDING,2.0,3.0,6,2004.0
4877076,313,HM490341,FINANCIAL ID THEFT: OVER $300,5.0,34.0,6,2003.0
4999584,314,HM610675,OVER $500,19.0,46.0,6,2004.0
4999738,315,HM610951,FINANCIAL ID THEFT: OVER $300,24.0,40.0,6,2002.0
